Step,r_semeval_no_super - accuracy,r_semeval_no_super - accuracy__MIN,r_semeval_no_super - accuracy__MAX,r_semeval_100_1.0_32 - accuracy,r_semeval_100_1.0_32 - accuracy__MIN,r_semeval_100_1.0_32 - accuracy__MAX,r_semeval_300_1.0_32 - accuracy,r_semeval_300_1.0_32 - accuracy__MIN,r_semeval_300_1.0_32 - accuracy__MAX,r_semeval_200_1.0_32 - accuracy,r_semeval_200_1.0_32 - accuracy__MIN,r_semeval_200_1.0_32 - accuracy__MAX
99,0.6589595375722543,0.6589595375722543,0.6589595375722543,0.7341040462427746,0.7341040462427746,0.7341040462427746,0.7572254335260116,0.7572254335260116,0.7572254335260116,0.7630057803468208,0.7630057803468208,0.7630057803468208
100,0.653179190751445,0.653179190751445,0.653179190751445,0.7398843930635838,0.7398843930635838,0.7398843930635838,0.7745664739884393,0.7745664739884393,0.7745664739884393,0.7572254335260116,0.7572254335260116,0.7572254335260116
101,0.6589595375722543,0.6589595375722543,0.6589595375722543,0.7283236994219653,0.7283236994219653,0.7283236994219653,0.7861271676300579,0.7861271676300579,0.7861271676300579,0.7572254335260116,0.7572254335260116,0.7572254335260116
102,0.6416184971098265,0.6416184971098265,0.6416184971098265,0.7341040462427746,0.7341040462427746,0.7341040462427746,0.7861271676300579,0.7861271676300579,0.7861271676300579,0.7630057803468208,0.7630057803468208,0.7630057803468208
103,0.6589595375722543,0.6589595375722543,0.6589595375722543,0.7398843930635838,0.7398843930635838,0.7398843930635838,0.7687861271676301,0.7687861271676301,0.7687861271676301,0.7630057803468208,0.7630057803468208,0.7630057803468208
104,0.6473988439306358,0.6473988439306358,0.6473988439306358,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7514450867052023,0.7514450867052023,0.7514450867052023,0.7514450867052023,0.7514450867052023,0.7514450867052023
105,0.6416184971098265,0.6416184971098265,0.6416184971098265,0.7283236994219653,0.7283236994219653,0.7283236994219653,0.7398843930635838,0.7398843930635838,0.7398843930635838,0.7514450867052023,0.7514450867052023,0.7514450867052023
106,0.6473988439306358,0.6473988439306358,0.6473988439306358,0.7225433526011561,0.7225433526011561,0.7225433526011561,0.7514450867052023,0.7514450867052023,0.7514450867052023,0.7572254335260116,0.7572254335260116,0.7572254335260116
107,0.6473988439306358,0.6473988439306358,0.6473988439306358,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7398843930635838,0.7398843930635838,0.7398843930635838
108,0.6473988439306358,0.6473988439306358,0.6473988439306358,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7514450867052023,0.7514450867052023,0.7514450867052023,0.7572254335260116,0.7572254335260116,0.7572254335260116
109,0.653179190751445,0.653179190751445,0.653179190751445,0.7572254335260116,0.7572254335260116,0.7572254335260116,0.7687861271676301,0.7687861271676301,0.7687861271676301,0.7514450867052023,0.7514450867052023,0.7514450867052023
110,0.6473988439306358,0.6473988439306358,0.6473988439306358,0.7572254335260116,0.7572254335260116,0.7572254335260116,0.7745664739884393,0.7745664739884393,0.7745664739884393,0.7630057803468208,0.7630057803468208,0.7630057803468208
111,0.6589595375722543,0.6589595375722543,0.6589595375722543,0.7514450867052023,0.7514450867052023,0.7514450867052023,0.7803468208092486,0.7803468208092486,0.7803468208092486,0.7456647398843931,0.7456647398843931,0.7456647398843931
112,0.653179190751445,0.653179190751445,0.653179190751445,0.7341040462427746,0.7341040462427746,0.7341040462427746,0.7861271676300579,0.7861271676300579,0.7861271676300579,0.7456647398843931,0.7456647398843931,0.7456647398843931
113,0.6589595375722543,0.6589595375722543,0.6589595375722543,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7745664739884393,0.7745664739884393,0.7745664739884393,0.7514450867052023,0.7514450867052023,0.7514450867052023
114,0.6589595375722543,0.6589595375722543,0.6589595375722543,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7630057803468208,0.7630057803468208,0.7630057803468208,0.7514450867052023,0.7514450867052023,0.7514450867052023
115,0.6589595375722543,0.6589595375722543,0.6589595375722543,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7803468208092486,0.7803468208092486,0.7803468208092486,0.7572254335260116,0.7572254335260116,0.7572254335260116
116,0.653179190751445,0.653179190751445,0.653179190751445,0.7341040462427746,0.7341040462427746,0.7341040462427746,0.7803468208092486,0.7803468208092486,0.7803468208092486,0.7572254335260116,0.7572254335260116,0.7572254335260116
117,0.653179190751445,0.653179190751445,0.653179190751445,0.7398843930635838,0.7398843930635838,0.7398843930635838,0.7572254335260116,0.7572254335260116,0.7572254335260116,0.7514450867052023,0.7514450867052023,0.7514450867052023
118,0.653179190751445,0.653179190751445,0.653179190751445,0.7398843930635838,0.7398843930635838,0.7398843930635838,0.7630057803468208,0.7630057803468208,0.7630057803468208,0.7514450867052023,0.7514450867052023,0.7514450867052023
119,0.653179190751445,0.653179190751445,0.653179190751445,0.7341040462427746,0.7341040462427746,0.7341040462427746,0.7572254335260116,0.7572254335260116,0.7572254335260116,0.7630057803468208,0.7630057803468208,0.7630057803468208
120,0.6473988439306358,0.6473988439306358,0.6473988439306358,0.7341040462427746,0.7341040462427746,0.7341040462427746,0.7687861271676301,0.7687861271676301,0.7687861271676301,0.7341040462427746,0.7341040462427746,0.7341040462427746
121,0.653179190751445,0.653179190751445,0.653179190751445,0.7398843930635838,0.7398843930635838,0.7398843930635838,0.7745664739884393,0.7745664739884393,0.7745664739884393,0.7456647398843931,0.7456647398843931,0.7456647398843931
122,0.6589595375722543,0.6589595375722543,0.6589595375722543,0.7341040462427746,0.7341040462427746,0.7341040462427746,0.7687861271676301,0.7687861271676301,0.7687861271676301,0.7456647398843931,0.7456647398843931,0.7456647398843931
