Iteration;real reward;Average (50 iters);Std;Niederwert;Hochwert
76;-63.71154957;-48.04826032;5.698516744;-53.74677707;-42.34974358
77;-56.74431139;-48.33666575;5.763814772;-54.10048052;-42.57285098
78;-15.24119955;-47.93164558;5.845488545;-53.77713412;-42.08615703
79;-50.77297794;-47.24393069;5.930788198;-53.17471889;-41.31314249
80;-32.83566389;-46.73307912;6.020544448;-52.75362357;-40.71253467
81;-41.50454191;-46.73540222;6.122593438;-52.85799566;-40.61280878
82;-58.7232159;-46.50004769;6.215013987;-52.71506168;-40.2850337
83;-57.77783336;-45.67807923;6.300343074;-51.9784223;-39.37773615
84;-64.38302096;-45.15941822;6.381299829;-51.54071805;-38.77811839
85;-29.54416417;-45.21041664;6.449312075;-51.65972872;-38.76110457
86;-52.3176433;-44.57644357;6.500557857;-51.07700142;-38.07588571
87;-13.12502499;-43.77410728;6.541717084;-50.31582436;-37.23239019
88;-40.35697099;-42.92875196;6.565054572;-49.49380654;-36.36369739
89;-59.81342603;-42.83395573;6.608150169;-49.4421059;-36.22580556
90;-34.95546491;-42.62003288;6.623549013;-49.24358189;-35.99648387
91;-44.4318802;-41.35290974;6.629827836;-47.98273758;-34.72308191
92;-43.39782013;-41.45468273;6.646368763;-48.10105149;-34.80831396
93;-36.84747716;-40.40689641;6.64726495;-47.05416136;-33.75963146
94;-47.35575123;-39.70647213;6.647406213;-46.35387834;-33.05906592
95;-59.09378891;-39.35736917;6.662624767;-46.01999394;-32.6947444
96;-60.5958667;-38.48263533;6.685152144;-45.16778748;-31.79748319
97;-38.47656453;-37.07625652;6.694834274;-43.7710908;-30.38142225
98;-27.84129817;-36.27269922;6.700785185;-42.9734844;-29.57191403
99;-78.56657309;-35.91815275;6.68697522;-42.60512797;-29.23117753
100;-30.20486193;-35.40429779;6.662336084;-42.06663388;-28.74196171
101;-60.05003011;-35.2028187;6.623132014;-41.82595071;-28.57968668
102;-56.27023405;-34.43708572;6.560956049;-40.99804177;-27.87612967
103;-17.63929918;-33.66254383;6.484566748;-40.14711058;-27.17797709
104;-16.45872504;-33.73175928;6.405018865;-40.13677815;-27.32674042
105;-26.77912705;-33.25738405;6.306133188;-39.56351724;-26.95125086
106;-39.87789303;-32.90623867;6.181341605;-39.08758028;-26.72489707
107;-23.79290253;-32.99746289;6.022162186;-39.01962507;-26.9753007
108;-25.87514902;-32.67673558;5.832747774;-38.50948335;-26.8439878
