epoch;Average comm savings
1;0.573392428
2;0.573676215
3;0.573643276
4;0.573769756
5;0.57406684
6;0.574439264
7;0.574447632
8;0.574563999
9;0.574817134
10;0.575102307
11;0.575321904
12;0.575490041
13;0.575696443
14;0.575817141
15;0.575691732
16;0.575882082
17;0.575935485
18;0.575925842
19;0.575961026
20;0.576016348
21;0.576150645
22;0.57625845
23;0.576304118
24;0.576211735
25;0.576347656
26;0.576289063
27;0.576520182
28;0.576686198
29;0.576770833
30;0.577057292
31;0.577298177
32;0.577408854
33;0.577265625
34;0.577190755
35;0.577161458
36;0.577070313
37;0.577083333
38;0.577063802
39;0.577021484
40;0.577272135
41;0.577242839
42;0.577272135
43;0.577164714
44;0.57695638
45;0.576689453
46;0.576438802
47;0.576191406
48;0.576005859
49;0.575957031
50;0.575680339
51;0.575582682
52;0.575309245
53;0.575
54;0.574778646
55;0.574241536
56;0.574013672
57;0.57382487
58;0.57367513
59;0.573486328
60;0.572900391
61;0.572399089
62;0.572226562
63;0.571845703
64;0.571461589
65;0.57139974
66;0.571064453
67;0.571044922
68;0.570745443
69;0.57054362
70;0.570146484
71;0.569990234
72;0.569749349
73;0.569498698
74;0.56930013
75;0.568733724
76;0.568460286
77;0.567929687
78;0.567272135
79;0.566878255
80;0.566722005
81;0.566152344
82;0.565735677
83;0.565458984
84;0.565374349
85;0.565211589
86;0.564947917
87;0.564641927
88;0.564316406
89;0.564075521
90;0.563567708
91;0.562991536
92;0.562532552
93;0.562089844
94;0.561702474
95;0.561692708
96;0.561533203
97;0.561188151
98;0.560872396
99;0.560299479
100;0.560221354
101;0.560039063
102;0.559729818
103;0.559707031
104;0.559453125
105;0.559361979
106;0.558860677
107;0.558704427
108;0.558580729
109;0.558020833
110;0.557955729
111;0.55781901
112;0.557470703
113;0.557177734
114;0.556985677
115;0.556748047
116;0.55671224
117;0.556269531
118;0.556015625
119;0.555625
120;0.555488281
121;0.55499349
122;0.554645182
123;0.554417318
124;0.554280599
125;0.554088542
126;0.554026693
127;0.553951823
128;0.554049479
129;0.55382487
130;0.553649089
131;0.553597005
132;0.553473307
133;0.553649089
134;0.553385417
135;0.553261719
136;0.553225911
137;0.553317057
138;0.553251953
139;0.553134766
140;0.553066406
141;0.553307292
142;0.553190104
143;0.553125
144;0.553105469
145;0.552744141
146;0.552571615
147;0.552532552
148;0.552451172
149;0.552480469
150;0.552356771
151;0.552171224
152;0.552070312
153;0.551966146
154;0.55203125
155;0.552093099
156;0.552128906
157;0.552050781
158;0.551852214
159;0.551966146
160;0.552089844
161;0.552161458
162;0.552086589
163;0.552102865
164;0.552014974
165;0.551914063
166;0.551656901
167;0.551731771
168;0.551806641
169;0.551826172
170;0.551852214
171;0.551865234
172;0.551829427
173;0.551669922
174;0.551653646
175;0.551770833
176;0.55164388
177;0.551741536
178;0.551575521
179;0.551601563
180;0.551611328
181;0.551640625
182;0.551656901
183;0.551510417
184;0.551513672
185;0.551591797
186;0.551565755
187;0.551500651
188;0.551360677
189;0.551360677
190;0.551302083
191;0.551155599
192;0.55124349
193;0.551240234
194;0.551223958
195;0.551191406
196;0.55117513
197;0.551305339
198;0.551302083
199;0.551276042
200;0.55108724
201;0.551188151
202;0.55117513
203;0.551110026
204;0.550898438
205;0.550738932
206;0.550748698
207;0.550647786
208;0.550520833
209;0.55046224
210;0.550227865
211;0.55014974
212;0.550120443
213;0.550097656
214;0.550117188
215;0.550100911
216;0.550048828
217;0.549895833
218;0.549788411
219;0.549746094
220;0.549628906
221;0.54960612
222;0.549586589
223;0.549580078
224;0.549453125
225;0.549466146
226;0.549423828
227;0.549208984
228;0.549241536
229;0.549241536
230;0.549156901
231;0.54914388
232;0.549098307
233;0.549033203
234;0.549130859
235;0.549000651
236;0.548994141
237;0.548834635
238;0.549059245
239;0.54898112
240;0.548935547
241;0.548916016
242;0.548811849
243;0.548782552
244;0.548860677
245;0.548971354
246;0.548984375
247;0.548850911
248;0.548766276
249;0.548720703
250;0.548707682
251;0.54867513
252;0.548759766
253;0.548714193
254;0.548769531
255;0.548792318
256;0.548776042
257;0.548763021
258;0.548769531
259;0.548798828
260;0.548847656
261;0.548873698
262;0.548854167
263;0.548857422
264;0.548886719
265;0.548893229
266;0.548867188
267;0.548740234
268;0.548763021
269;0.548763021
270;0.548815104
271;0.548772786
272;0.548808594
273;0.548837891
274;0.548850911
275;0.548733724
276;0.548753255
277;0.548805339
278;0.548870443
279;0.548818359
280;0.548792318
281;0.548763021
282;0.548769531
283;0.548834635
284;0.548707682
285;0.548785807
286;0.548789063
287;0.548789063
288;0.548538411
289;0.548544922
290;0.548570964
291;0.548551432
292;0.54859375
293;0.548671875
294;0.548583984
295;0.548580729
296;0.548574219
297;0.548613281
298;0.548642578
299;0.548626302
300;0.548619792
301;0.548541667
302;0.548460286
303;0.548447266
304;0.548427734
305;0.548388672
306;0.548349609
307;0.548307292
308;0.54827474
309;0.548310547
310;0.548238932
311;0.548160807
312;0.548092448
313;0.548040365
314;0.548040365
315;0.548040365
316;0.547988281
317;0.548076172
318;0.548141276
319;0.54819987
320;0.548229167
321;0.548219401
322;0.54811849
323;0.548092448
324;0.548046875
325;0.548147786
326;0.548108724
327;0.54805013
328;0.547939453
329;0.548085938
330;0.548128255
331;0.548238932
332;0.548222656
333;0.548183594
334;0.548167318
335;0.548059896
336;0.548072917
337;0.54805013
338;0.548076172
339;0.548102214
340;0.548027344
341;0.547988281
342;0.547988281
343;0.547926432
344;0.548011068
345;0.547903646
346;0.547897135
347;0.547880859
348;0.547851563
349;0.547796224
350;0.5478125
351;0.5478125
352;0.547838542
353;0.54805013
354;0.548024089
355;0.548076172
356;0.548014323
357;0.548030599
358;0.548001302
359;0.547903646
360;0.547903646
361;0.547897135
362;0.547890625
363;0.54788737
364;0.547858073
365;0.547770182
